claim_id	node_id	cell_id	record_or_family_id	member_domain	claim_kind	claim_text	domain	status	selection_status	assumptions_used	source_record_ids	source_hashes	payoff_date	evidence_path	proof_path
AUX-MSB-001	A_U	ALL	ALL	all	coverage	A_U depends only on frozen C_U and never rederives it	all primitives	proved	no dependency selection	Gate 0; M/S/B	N4-SC-EQ-L-STAR;N4-SC-EQ-P-STAR	f1c823123a9b218096d6d072ff5786775c91698ff0c2004791731d2d3406408b	A	quality_reports/verification_outputs/2026-08-29_A_U_msb_blind_verifier_output.txt	model_redesign/agenda_extension_A_U_msb_contract.md
AUX-MSB-002	A_U	ALL	ALL	all	substantive	The consumable posterior domain is D_C={0} union (nu_star,1]	all primitives	proved	C_U none cells are inadmissible	literal C_U interface	N4-SC-CELL-NU-ZERO;N4-SC-CELL-NO-PURE-PBE;N4-SC-CELL-HIGH-PRIOR	f1c823123a9b218096d6d072ff5786775c91698ff0c2004791731d2d3406408b	C_U native	quality_reports/verification_outputs/2026-08-29_A_U_msb_blind_verifier_output.txt	model_redesign/agenda_extension_A_U_msb_results.md
AUX-MSB-003	A_U	ALL	ALL	all	substantive	A rejected weak-vote deviation requires literal C_U even when all weak voters prescribe yes	all proposals	proved	no fictitious continuation	unanimity; no-signaling weak actions	N4-SC-CELL-NO-PURE-PBE	f1c823123a9b218096d6d072ff5786775c91698ff0c2004791731d2d3406408b	A	quality_reports/verification_outputs/2026-08-29_A_U_msb_blind_verifier_output.txt	model_redesign/agenda_extension_A_U_msb_contract.md
AUX-MSB-004	A_U	ALL	ALL	all	substantive	Importing C_U applies beta exactly once and gives d_0=beta ell; d=beta h; a=beta(1-ell)/m; b=beta(1-h)/m	all primitives	proved	no selection	payoff dates	N4-SC-EQ-L-STAR;N4-SC-EQ-P-STAR	f1c823123a9b218096d6d072ff5786775c91698ff0c2004791731d2d3406408b	A	quality_reports/verification_outputs/2026-08-29_A_U_msb_blind_verifier_output.txt	model_redesign/agenda_extension_A_U_msb_contract.md
AUX-MSB-005	A_U	ALL	ALL	all	substantive	Weak j votes yes iff x_j>=a at mu=0 and iff x_j>=b at mu>nu_star	all proposals	proved	T^Y fixes equality	as-if-pivotal; M/S/B	N4-SC-EQ-L-STAR;N4-SC-EQ-P-STAR	f1c823123a9b218096d6d072ff5786775c91698ff0c2004791731d2d3406408b	A	quality_reports/verification_outputs/2026-08-29_A_U_msb_blind_verifier_output.txt	model_redesign/agenda_extension_A_U_msb_results.md
AUX-MSB-006	A_U	ALL	ALL	all	substantive	y_L and y_bar=y_H belong to Y and uniquely maximize H's accepted share under their respective prices	all primitives	proved	closed acceptance boundary	feasibility; T^Y	none	fb2cd323a74b30432746dc37d622014cd7768e6d5442877ed3a8e043df546dc4	A	quality_reports/verification_outputs/2026-08-29_A_U_msb_blind_verifier_output.txt	model_redesign/agenda_extension_A_U_msb_results.md
AUX-MSB-007	A_U	INTERIOR	ALL	all	substantive	Both H types have the same equilibrium payoff V in every interior-prior PBE	0<nu<1	proved	full imitation argument	common agreement payoff; available rejected proposal	none	8f0f3a0e430e8005bd7a1da99477a7b0e27e163b85aa87c2ad349d9578aab21b	A	none	model_redesign/agenda_extension_A_U_msb_results.md
AUX-MSB-008	A_U	INTERIOR	ALL	all	substantive	If posterior-zero mass is positive then nu_off=0; Delta>=0; V=z_L; and y_L is the unique used posterior-zero proposal	0<nu<1	proved	no behavioral symmetry imposed	Bayes; imitation; feasibility	none	8f0f3a0e430e8005bd7a1da99477a7b0e27e163b85aa87c2ad349d9578aab21b	A	none	model_redesign/agenda_extension_A_U_msb_results.md
AUX-MSB-009	A_U	INTERIOR	ALL	all	substantive	If posterior-zero mass is zero then nu>nu_star	0<nu<1	proved	Bayes plausibility	local Bayes; D_C	none	8f0f3a0e430e8005bd7a1da99477a7b0e27e163b85aa87c2ad349d9578aab21b	A	none	model_redesign/agenda_extension_A_U_msb_results.md
AUX-MSB-010	A_U	LOW-DELTA-NEG	NONE	none	substantive	No PBE exists when 0<nu<=nu_star and Delta<0	0<nu<=nu_star; Delta<0	proved	complete nonexistence cell	Bayes plausibility; imitation; C_U domain	none	f1c823123a9b218096d6d072ff5786775c91698ff0c2004791731d2d3406408b	A	quality_reports/verification_outputs/2026-08-29_A_U_msb_blind_verifier_output.txt	model_redesign/agenda_extension_A_U_msb_results.md
