"nu","vertical_value","region","hegemon_type","polygon_id","record_type"
0,4e-05,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.00803984,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.01603968,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.02403952,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.03203936,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.0400392,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.04803904,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.05603888,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.06403872,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.07203856,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.0800384,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.08803824,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.09603808,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.10403792,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.11203776,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.1200376,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.12803744,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.13603728,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.14403712,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.15203696,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.1600368,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.16803664,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.17603648,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.18403632,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.19203616,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.200036,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.20803584,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.21603568,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.22403552,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.23203536,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.2400352,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.24803504,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.25603488,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.26403472,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.27203456,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.2800344,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.28803424,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.29603408,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.30403392,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.31203376,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.3200336,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.32803344,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.33603328,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.34403312,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.35203296,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.3600328,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.36803264,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.37603248,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.38403232,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.39203216,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.400032,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.40803184,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.41603168,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.42403152,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.43203136,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.4400312,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.44803104,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.45603088,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.46403072,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.47203056,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.4800304,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.48803024,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.49603008,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.50402992,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.51202976,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.5200296,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.52802944,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.53602928,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.54402912,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.55202896,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.5600288,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.56802864,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.57602848,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.58402832,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.59202816,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.600028,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.60802784,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.61602768,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.62402752,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.63202736,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.6400272,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.64802704,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.65602688,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.66402672,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.67202656,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.6800264,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.68802624,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.69602608,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.70402592,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.71202576,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.7200256,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.72802544,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.73602528,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.74402512,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.75202496,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.7600248,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.76802464,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.77602448,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.78402432,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.79202416,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.800024,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.80802384,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.81602368,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.82402352,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.83202336,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.8400232,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.84802304,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.85602288,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.86402272,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.87202256,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.8800224,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
